transaction_id,trade_date,trade_timestamp,pair,direction,client_id,client_name,client_type,client_tier,market_maker_id,market_maker_name,volume_crypto,mid_price_idr,mm_price_idr,client_price_idr,spread_bps,idr_mm_amount,idr_client_amount,gross_spread_idr,tax_idr,net_pnl_idr,bank_account_id,client_wallet_id,mm_wallet_id,crypto_settlement_timestamp,fiat_settlement_timestamp,pnl_recognition_timestamp,pnl_recognition_month,status,exchange_ref,notes
OTC-00015,2024-01-01,2024-01-01 11:31:35,USDT/IDR,SELL,CLT-004,Siti Aminah,HNWI,C,MM-001,Liquidity Prime,242506.24340380897,15842.66541273834,15855.802428276635,15789.208058077873,21,3845131083.034359,3828981532.485615,16149550.548744202,8040861.218219791,0.0,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 12:27:23,2024-01-01 14:58:42,2024-01-01 14:58:42,2024-01,PENDING,EX-001,
OTC-00016,2024-01-01,2024-01-01 11:51:27,USDT/IDR,SELL,CLT-010,Dewi Sartika,HNWI,B,MM-002,Global OTC Solutions,19088.627972591665,15842.66541273834,15836.6023543147,15778.006925603735,16,302299010.6913826,301180504.35182446,1118506.3395581245,632479.0591388313,486027.2804192932,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 12:10:28,2024-01-01 15:01:13,2024-01-01 15:01:13,2024-01,SETTLED,EX-002,
OTC-00017,2024-01-01,2024-01-01 17:16:18,USDC/IDR,BUY,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-002,Global OTC Solutions,167279.87598534697,15838.068099793434,15823.18164714509,15897.55060088667,26,2646899863.628049,2659340292.9871006,12440429.359051704,5584614.615272911,6855814.743778793,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 17:40:42,2024-01-01 20:11:03,2024-01-01 20:11:03,2024-01,SETTLED,EX-001,
OTC-00018,2024-01-01,2024-01-01 13:12:42,USDC/IDR,SELL,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-003,Apex Alpha Liquidity,216135.12566949782,15838.068099793434,15845.742779063146,15782.359807946894,19,3424821606.8793507,3411122320.4518332,13699286.427517414,7163356.87294885,6535929.5545685645,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 14:08:28,2024-01-01 15:48:08,2024-01-01 15:48:08,2024-01,SETTLED,EX-001,
OTC-00019,2024-01-01,2024-01-01 16:25:50,USDT/IDR,SELL,CLT-010,Dewi Sartika,HNWI,B,MM-002,Global OTC Solutions,348712.7534607939,15842.66541273834,15857.508010699978,15794.077978657178,19,5529715281.437785,5507596420.312035,22118861.12575054,11565952.482655272,0.0,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 17:17:43,2024-01-01 19:48:28,2024-01-01 19:48:28,2024-01,PENDING,EX-002,
OTC-00020,2024-01-01,2024-01-01 09:23:32,USDT/IDR,SELL,CLT-004,Siti Aminah,HNWI,C,MM-001,Liquidity Prime,193266.43321432208,15842.66541273834,15830.655800676526,15776.831570954228,13,3059534382.0403705,3049131965.1414332,10402416.898937225,6403177.126797009,3999239.772140216,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 09:42:28,2024-01-01 10:32:40,2024-01-01 10:32:40,2024-01,SETTLED,EX-001,
OTC-00021,2024-01-01,2024-01-01 12:22:06,USDT/IDR,BUY,CLT-010,Dewi Sartika,HNWI,B,MM-001,Liquidity Prime,75319.8957217312,15842.66541273834,15836.560488560488,15904.657698661298,22,1192808084.5892644,1197937159.3529983,5129074.763733864,2515668.034641296,2613406.7290925677,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 12:50:34,2024-01-01 14:23:40,2024-01-01 14:23:40,2024-01,SETTLED,EX-001,
OTC-00022,2024-01-01,2024-01-01 15:49:12,USDT/IDR,BUY,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-001,Liquidity Prime,36677.153232785204,15842.66541273834,15849.738493929797,15924.232264851265,26,581323287.4414374,584055506.8924121,2732219.450974703,1226516.5644740653,1505702.8865006375,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 16:48:40,2024-01-01 18:25:03,2024-01-01 18:25:03,2024-01,SETTLED,EX-002,
OTC-00023,2024-01-01,2024-01-01 10:28:00,USDT/IDR,BUY,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-001,Liquidity Prime,101555.37463051201,15842.66541273834,15837.938031638485,15913.960134190349,27,1608427730.1778803,1616148183.2827342,7720453.1048538685,3393911.1848937417,4326541.919960126,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 10:39:53,2024-01-01 13:34:30,2024-01-01 13:34:30,2024-01,SETTLED,EX-001,
OTC-00024,2024-01-02,2024-01-02 17:32:55,USDC/IDR,SELL,CLT-002,Andi Pratama,HNWI,B,MM-003,Apex Alpha Liquidity,231684.2640192905,15880.988040373806,15892.448236069735,15822.521463831028,23,3682030173.0384884,3665829240.2771187,16200932.761369705,7698241.404581949,8502691.356787756,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 17:44:53,2024-01-02 21:28:25,2024-01-02 21:28:25,2024-01,SETTLED,EX-002,
OTC-00025,2024-01-02,2024-01-02 11:28:26,USDT/IDR,BUY,CLT-010,Dewi Sartika,HNWI,B,MM-003,Apex Alpha Liquidity,280473.60994735744,15881.370534104555,15876.596596973452,15943.27830268074,21,4452966361.231074,4471668819.948245,18702458.717170715,9390504.521891315,9311954.1952794,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 12:06:59,2024-01-02 13:33:46,2024-01-02 13:33:46,2024-01,SETTLED,EX-001,
OTC-00026,2024-01-02,2024-01-02 10:49:38,USDT/IDR,SELL,CLT-005,PT Teknologi Nusantara,Corporate,B,MM-003,Apex Alpha Liquidity,473115.1436135449,15881.370534104555,15897.088925537753,15844.62853208348,12,7521153510.043088,7496333703.459946,24819806.58314228,15742300.777265886,9077505.805876395,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 10:56:35,2024-01-02 14:03:41,2024-01-02 14:03:41,2024-01,SETTLED,EX-002,
OTC-00027,2024-01-02,2024-01-02 11:25:10,USDC/IDR,BUY,CLT-004,Siti Aminah,HNWI,C,MM-002,Global OTC Solutions,286219.75683149503,15880.988040373806,15875.2478458315,15949.861510706907,26,4543809578.073607,4565165483.090553,21355905.01694584,9586847.514490161,11769057.502455678,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 12:14:05,2024-01-02 14:37:44,2024-01-02 14:37:44,2024-01,SETTLED,EX-001,
OTC-00028,2024-01-02,2024-01-02 10:35:06,USDT/IDR,SELL,CLT-010,Dewi Sartika,HNWI,B,MM-003,Apex Alpha Liquidity,480809.38980732,15881.370534104555,15881.676703775822,15821.326332301473,17,7636059285.059583,7607042259.776356,29017025.283226967,15974788.745530346,0.0,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 11:14:05,2024-01-02 13:42:40,2024-01-02 13:42:40,2024-01,RECONCILING,EX-001,
OTC-00029,2024-01-02,2024-01-02 17:37:11,USDT/IDR,SELL,CLT-009,PT Sumber Berkah,Corporate,C,MM-003,Apex Alpha Liquidity,344879.4274453816,15881.370534104555,15888.339180464463,15821.608155906513,21,5479561319.616608,5456547162.074218,23014157.54238987,11458749.040355857,0.0,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 18:06:21,2024-01-02 18:43:23,2024-01-02 18:43:23,2024-01,RECONCILING,EX-002,
OTC-00030,2024-01-02,2024-01-02 14:00:43,BTC/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-001,Liquidity Prime,1.1047657268509659,665463743.8419515,665428535.3676296,671750106.4536222,74,735142639.542793,742126494.6184497,6983855.075656652,1558465.6386987444,0.0,BANK-IDR-001,WALLET-BTC-001,WALLET-USDT-002,2024-01-02 15:12:50,2024-01-02 20:43:20,2024-01-02 20:43:20,2024-01,RECONCILING,EX-002,
OTC-00031,2024-01-02,2024-01-02 12:17:16,PAXG/IDR,BUY,CLT-009,PT Sumber Berkah,Corporate,C,MM-003,Apex Alpha Liquidity,8.694542520694245,30255323.93993736,30231791.064589985,30721546.079836342,141,262851592.88782197,267109788.6926047,4258195.804782718,560930.5562544698,3697265.2485282486,BANK-IDR-003,WALLET-PAXG-001,WALLET-USDT-002,2024-01-02 15:21:11,2024-01-02 19:16:18,2024-01-02 19:16:18,2024-01,SETTLED,EX-001,
OTC-00032,2024-01-02,2024-01-02 12:47:17,PAXG/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-003,Apex Alpha Liquidity,7.003788230743895,30255323.93993736,30271232.462707277,30516429.445655204,60,212013301.65242177,213730609.39580637,1717307.7433845997,448834.2797311934,1268473.4636534064,BANK-IDR-002,WALLET-PAXG-001,WALLET-USDT-002,2024-01-02 15:54:12,2024-01-03 04:44:56,2024-01-03 04:44:56,2024-01,SETTLED,EX-002,
OTC-00033,2024-01-02,2024-01-02 13:38:47,USDT/IDR,SELL,CLT-001,PT Maju Jaya Bersama,Corporate,A,MM-001,Liquidity Prime,429947.6164465376,15881.370534104555,15896.8644159835,15831.687271877969,20,6834818964.625886,6806796206.87092,28022757.754965782,14294272.034428932,13728485.72053685,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 14:38:20,2024-01-02 14:44:09,2024-01-02 14:44:09,2024-01,SETTLED,EX-001,
OTC-00034,2024-01-02,2024-01-02 17:24:52,USDT/IDR,SELL,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-001,Liquidity Prime,127091.89186189634,15881.370534104555,15873.553506054226,15819.583424133642,13,2017399945.6554692,2010540785.8402405,6859159.815228701,4222135.650264504,2637024.1649641963,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 17:37:59,2024-01-02 18:39:32,2024-01-02 18:39:32,2024-01,SETTLED,EX-002,
OTC-00035,2024-01-02,2024-01-02 14:00:51,USDT/IDR,SELL,CLT-006,Budi Santoso,HNWI,A,MM-001,Liquidity Prime,367199.6791227585,15881.370534104555,15886.36416237322,15833.939160637388,12,5833467822.850737,5814217379.035329,19250443.815407753,12209856.49597419,7040587.319433562,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 14:59:56,2024-01-02 16:36:35,2024-01-02 16:36:35,2024-01,SETTLED,EX-001,
OTC-00036,2024-01-02,2024-01-02 12:40:24,USDT/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-001,Liquidity Prime,51125.04629877992,15881.370534104555,15869.459988894938,15944.046450842743,26,811326876.6688892,815140112.9892329,3813236.320343733,1711794.237277389,2101442.083066344,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 13:24:41,2024-01-02 15:44:38,2024-01-02 15:44:38,2024-01,SETTLED,EX-001,
OTC-00037,2024-01-02,2024-01-02 11:54:52,USDC/IDR,BUY,CLT-006,Budi Santoso,HNWI,A,MM-002,Global OTC Solutions,246742.80195328072,15880.988040373806,15871.81387592372,15943.237038365376,24,3916255827.82638,3933878979.051598,17623151.225218296,8261145.8560083555,9362005.369209941,BANK-IDR-003,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 12:18:12,2024-01-02 15:50:18,2024-01-02 15:50:18,2024-01,SETTLED,EX-002,
OTC-00038,2024-01-02,2024-01-02 09:56:39,USDT/IDR,SELL,CLT-002,Andi Pratama,HNWI,B,MM-003,Apex Alpha Liquidity,350678.04509759945,15881.370534104555,15873.59329858086,15798.987410077529,26,5566520666.620691,5540358019.487574,26162647.133117676,11634751.840923904,14527895.292193772,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 10:54:31,2024-01-02 12:51:19,2024-01-02 12:51:19,2024-01,SETTLED,EX-002,
OTC-00039,2024-01-02,2024-01-02 17:36:43,USDC/IDR,SELL,CLT-008,Mega Lestari,HNWI,C,MM-002,Global OTC Solutions,11322.060059264693,15880.988040373806,15888.820156427431,15815.731583707866,25,179894176.08192682,179066662.87194997,827513.2099768519,376039.9920310949,451473.21794575703,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 18:14:31,2024-01-02 20:41:17,2024-01-02 20:41:17,2024-01,SETTLED,EX-001,
OTC-00040,2024-01-02,2024-01-02 17:12:54,USDC/IDR,BUY,CLT-009,PT Sumber Berkah,Corporate,C,MM-002,Global OTC Solutions,71588.74078263425,15880.988040373806,15893.596017149417,15969.885278031734,27,1137802525.3756177,1143263977.4974208,5461452.121803045,2400854.3527445835,3060597.7690584618,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 17:31:48,2024-01-02 20:04:45,2024-01-02 20:04:45,2024-01,SETTLED,EX-001,
OTC-00041,2024-01-02,2024-01-02 12:58:21,USDT/IDR,BUY,CLT-001,PT Maju Jaya Bersama,Corporate,A,MM-002,Global OTC Solutions,219819.90286779133,15881.370534104555,15878.3803844519,15932.366877759037,13,3490384033.80806,3502251339.5230074,11867305.714947224,7354727.812998315,4512577.901948908,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 13:54:17,2024-01-02 16:02:01,2024-01-02 16:02:01,2024-01,SETTLED,EX-002,
OTC-00042,2024-01-02,2024-01-02 13:07:39,USDC/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-003,Apex Alpha Liquidity,346996.76406657643,15880.988040373806,15884.663474272635,15956.14445990686,24,5511926823.859146,5536730494.566511,24803670.707365036,11627134.038589673,13176536.668775363,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 13:26:24,2024-01-02 16:25:31,2024-01-02 16:25:31,2024-01,SETTLED,EX-001,
OTC-00043,2024-01-02,2024-01-02 09:23:50,USDC/IDR,SELL,CLT-002,Andi Pratama,HNWI,B,MM-003,Apex Alpha Liquidity,74131.6387607104,15880.988040373806,15877.879682506713,15809.604799871935,22,1177053240.9096107,1171991911.9736996,5061328.935911179,2461183.015144769,2600145.9207664095,BANK-IDR-003,WALLET-USDC-001,WALLET-USDT-002,2024-01-02 09:47:19,2024-01-02 11:59:31,2024-01-02 11:59:31,2024-01,SETTLED,EX-002,
OTC-00044,2024-01-02,2024-01-02 09:06:09,USDT/IDR,BUY,CLT-009,PT Sumber Berkah,Corporate,C,MM-003,Apex Alpha Liquidity,455817.9380003249,15881.370534104555,15869.36992653194,15942.369028193985,25,7233543477.276155,7266817777.2716255,33274299.995470047,15260317.332270412,18013982.663199633,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-02 09:15:30,2024-01-02 11:40:58,2024-01-02 11:40:58,2024-01,SETTLED,EX-002,
OTC-00045,2024-01-03,2024-01-03 16:43:07,USDT/IDR,BUY,CLT-009,PT Sumber Berkah,Corporate,C,MM-001,Liquidity Prime,471096.1995218475,15878.602274605648,15866.869070861138,15922.403112609152,14,7474821717.59343,7500983593.605006,26161876.011576653,15752065.546570512,10409810.465006141,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 17:02:41,2024-01-03 18:30:35,2024-01-03 18:30:35,2024-01,SETTLED,EX-001,
OTC-00046,2024-01-03,2024-01-03 14:05:13,USDT/IDR,BUY,CLT-004,Siti Aminah,HNWI,C,MM-003,Apex Alpha Liquidity,278073.23668884236,15878.602274605648,15887.24581789749,15953.97225033266,21,4417817866.65403,4436372701.693976,18554835.039946556,9316382.67355735,9238452.366389206,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 14:38:54,2024-01-03 16:54:23,2024-01-03 16:54:23,2024-01,SETTLED,EX-002,
OTC-00047,2024-01-03,2024-01-03 10:46:31,USDT/IDR,SELL,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-003,Apex Alpha Liquidity,296960.2630132379,15878.602274605648,15864.210748784559,15802.3403268643,18,4711040196.456498,4692667139.690318,18373056.76618004,9854600.993349668,8518455.77283037,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 11:37:29,2024-01-03 12:55:50,2024-01-03 12:55:50,2024-01,SETTLED,EX-002,
OTC-00048,2024-01-03,2024-01-03 16:09:00,USDT/IDR,BUY,CLT-006,Budi Santoso,HNWI,A,MM-001,Liquidity Prime,398324.0051271061,15878.602274605648,15884.05852996804,15960.302010911886,27,6327001811.330243,6357371420.024628,30369608.694384575,13350479.982051717,17019128.71233286,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 16:59:39,2024-01-03 17:57:29,2024-01-03 17:57:29,2024-01,SETTLED,EX-002,
OTC-00049,2024-01-03,2024-01-03 13:38:52,USDC/IDR,BUY,CLT-010,Dewi Sartika,HNWI,B,MM-003,Apex Alpha Liquidity,308694.35178103397,15879.945625276163,15893.13073868912,15971.007079308696,28,4906119691.150864,4930159677.637503,24039986.486639023,10353335.323038755,13686651.163600268,BANK-IDR-003,WALLET-USDC-001,WALLET-USDT-002,2024-01-03 13:59:31,2024-01-03 17:03:06,2024-01-03 17:03:06,2024-01,SETTLED,EX-002,
OTC-00050,2024-01-03,2024-01-03 11:13:39,USDC/IDR,SELL,CLT-003,Indo Global Investment,Institutional,A,MM-001,Liquidity Prime,367928.90530436917,15879.945625276163,15894.233835126364,15817.941512717758,27,5847948055.609709,5819877904.942782,28070150.666926384,12221743.600379841,15848407.066546543,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-03 12:09:47,2024-01-03 12:21:05,2024-01-03 12:21:05,2024-01,SETTLED,EX-002,
OTC-00051,2024-01-03,2024-01-03 16:09:43,USDT/IDR,SELL,CLT-008,Mega Lestari,HNWI,C,MM-001,Liquidity Prime,123369.02575000035,15878.602274605648,15884.600951301021,15817.885627305557,21,1959667743.7895358,1951437139.2656198,8230604.523916006,4098017.992457801,4132586.531458205,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 16:58:27,2024-01-03 17:37:12,2024-01-03 17:37:12,2024-01,SETTLED,EX-001,
OTC-00052,2024-01-03,2024-01-03 17:16:46,USDT/IDR,BUY,CLT-005,PT Teknologi Nusantara,Corporate,B,MM-003,Apex Alpha Liquidity,347945.96188189974,15878.602274605648,15880.305561226482,15953.354966808123,25,5525488193.47943,5550905439.1694355,25417245.690005302,11656901.422255814,0.0,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 17:44:23,2024-01-03 19:47:15,2024-01-03 19:47:15,2024-01,PENDING,EX-001,
OTC-00053,2024-01-03,2024-01-03 15:00:15,USDT/IDR,SELL,CLT-004,Siti Aminah,HNWI,C,MM-003,Apex Alpha Liquidity,152053.208725776,15878.602274605648,15876.683199282534,15811.588798165476,20,2414100624.373528,2404202811.8135967,9897812.559931278,5048825.904808553,4848986.655122725,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 15:33:14,2024-01-03 18:14:30,2024-01-03 18:14:30,2024-01,SETTLED,EX-001,
OTC-00054,2024-01-03,2024-01-03 15:36:28,USDT/IDR,SELL,CLT-009,PT Sumber Berkah,Corporate,C,MM-003,Apex Alpha Liquidity,489659.51856453443,15878.602274605648,15884.484072600142,15808.23854905166,27,7777988823.635401,7740654477.281951,37334346.35344982,16255374.402292095,21078971.951157726,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 15:50:32,2024-01-03 18:07:52,2024-01-03 18:07:52,2024-01,SETTLED,EX-002,
OTC-00055,2024-01-03,2024-01-03 09:23:14,USDC/IDR,BUY,CLT-004,Siti Aminah,HNWI,C,MM-003,Apex Alpha Liquidity,397246.1055543724,15879.945625276163,15891.838055956518,15950.637856763557,16,6312970777.829495,6336328769.707464,23357991.87796879,13306290.416385675,10051701.461583113,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-03 10:20:11,2024-01-03 13:09:32,2024-01-03 13:09:32,2024-01,SETTLED,EX-002,
OTC-00056,2024-01-03,2024-01-03 11:59:39,USDT/IDR,BUY,CLT-005,PT Teknologi Nusantara,Corporate,B,MM-002,Global OTC Solutions,184995.97882235536,15878.602274605648,15890.156995169862,15968.018764446193,28,2939615146.9623456,2954019261.182461,14404114.220115185,6203440.448483167,8200673.771632018,BANK-IDR-002,WALLET-USDT-001,WALLET-USDT-002,2024-01-03 12:07:32,2024-01-03 15:02:15,2024-01-03 15:02:15,2024-01,SETTLED,EX-002,
